Task ID,Area,Checkpoint ID,Completed By,Completed Date,Component,Done,Due Date,Mark Done,Notes,Owner,Phase,Priority,Progress,Section,Source Doc,Start Date,Start Task,Started By,Status,Task
P2-A-001,Standards,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",0) Conventions,,,,,Not Started,Redis keys (additions):
P2-A-002,Standards,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",0) Conventions,,,,,Not Started,"API conventions: Small, versioned REST APIs; SIWE endpoints are public-facing and protected by policy/CSRF; CCID/KYC and Compliance Adapter are internal-to-internal (or authenticated) with AuthN middleware."
P2-A-003,Infra,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",1) Google Cloud Project & Networking,,,,,Not Started,"Egress allow-list: KYC/KYB provider, Chainlink CCID, and Chainlink ACE per environment."
P2-A-004,Infra,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",1) Google Cloud Project & Networking,,,,,Not Started,"Ingress controls: front SIWE and CCID/KYC public endpoints with TLS, CORS/CSRF, optional Cloud Armor/IAP; keep Compliance Adapter internal."
P2-A-005,Infra,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",1) Google Cloud Project & Networking,,,,,Not Started,"Artifact Registry: repositories for `wallet-signin`, `ccid-kyc`, and `compliance-adapter`."
P2-A-006,Data Model,P2-A,,,Cloud Spanner (identity & compliance),No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",2) Data Stores — Cloud Spanner (identity & compliance),,,,,Not Started,Create tables and indexes:
P2-A-007,Data Infra,P2-A,,,Firestore (policy/config),No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",2) Data Stores — Firestore (policy/config),,,,,Not Started,"Collections: small policy documents (e.g., SIWE allowed `domains`, `origins`, `uris`, `chainIds`), adapter policy thresholds."
P2-A-008,Data Infra,P2-A,,,Memorystore and GCS,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",2) Data Stores — Memorystore and GCS,,,,,Not Started,"Redis: nonce/session caches, webhook dedupe keys, ACE token buckets."
P2-A-009,Data Infra,P2-A,,,Memorystore and GCS,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",2) Data Stores — Memorystore and GCS,,,,,Not Started,GCS: optional storage for provider documents pointers if required (no PII).
P2-A-010,Security,P2-A,,,,No,,,,,,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff84158807bb21bd60886c38bc3?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff841588011aa1de35798d696d1?pvs=21)",3) Security & IAM,,,,,Not Started,"Service accounts: `sa-wallet-signin`, `sa-ccid-kyc`, `sa-compliance-adapter`."
