Task ID,Area,Checkpoint ID,Completed By,Completed Date,Component,Done,Due Date,Mark Done,Notes,Owner,Phase,Priority,Progress,Section,Source Doc,Start Date,Start Task,Started By,Status,Task
P3-A-001,Standards,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",0) Conventions,Phase 3 - DEV Checkpoints,,,,Not Started,Redis keys (additions for Phase 3):
P3-A-002,Standards,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",0) Conventions,Phase 3 - DEV Checkpoints,,,,Not Started,"On-chain strategy: Confirm the target EVM L2 for ReFIN (e.g., Base / OP Mainnet / Arbitrum) and Ethereum L1 for anchoring."
P3-A-003,Standards,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",0) Conventions,Phase 3 - DEV Checkpoints,,,,Not Started,"Hashing algorithm: Standardize Phase-3 hashing; default SHA-256 with option to switch to keccak256 via config (must be consistent across Writer, Builder, Explorer)."
P3-A-004,Infra,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",1) Google Cloud Project & Networking,Phase 3 - DEV Checkpoints,,,,Not Started,Egress allow-list (updates):
P3-A-005,Infra,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",1) Google Cloud Project & Networking,Phase 3 - DEV Checkpoints,,,,Not Started,GCS bucket (updates): Create per-env Audit Preimages bucket; enable object versioning and retention. (Explorer serves redacted preimages from GCS.)
P3-A-006,Data Infra,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",2) Data Stores — MongoDB Atlas,Phase 3 - DEV Checkpoints,,,,Not Started,"Apply Cloud Spanner Phase-3 DDL and verify tables exist: audit_leaves, merkle_intervals, refin_roots, l1_anchors, anchor_queue, anchor_runs, explorer_index"
P3-A-007,Data Infra,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",2) Data Stores — MongoDB Atlas,Phase 3 - DEV Checkpoints,,,,Not Started,Key indexes:
P3-A-008,Security,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",3) Security & IAM,Phase 3 - DEV Checkpoints,,,,Not Started,"Service accounts (new): `sa-audit-writer`, `sa-merkle-builder`, `sa-anchor-job`, `sa-refin-indexer`, `sa-explorer-api`."
P3-A-009,Security,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",3) Security & IAM,Phase 3 - DEV Checkpoints,,,,Not Started,Least-privilege roles:
P3-A-010,Security,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",3) Security & IAM,Phase 3 - DEV Checkpoints,,,,Not Started,Secrets (new):
P3-A-011,Messaging,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",4) Pub/Sub Event Bus,Phase 3 - DEV Checkpoints,,,,Not Started,Topics (updates): Create `audit.evt` (if not already present).
P3-A-012,Messaging,P3-A,,,,No,,,,,3,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff8415880bcb4dec0b1e70a7500?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff8415880249a37d2c5fcff32e3?pvs=21)",4) Pub/Sub Event Bus,Phase 3 - DEV Checkpoints,,,,Not Started,Subscriptions: Add Audit Writer subscriber with DLQ; ordering by suitable shard key.
